person,friend
Alice,Ben
Alice,Carol
Alice,Cleo
Alice,Ivan
Alice,Karl
Alice,Nina
Alice,Uma
Bob,Oscar
Bob,Rita
Bob,Tara
Carol,Alice
Carol,Nina
Dave,Amy
Dave,Ivan
Dave,Judy
Dave,Karl
Dave,Oscar
Dave,Uma
Eve,Amy
Eve,Drew
Eve,Tara
Eve,Victor
Frank,Heidi
Grace,Ivan
Grace,Nina
Grace,Yara
Heidi,Frank
Heidi,Judy
Heidi,Xander
Ivan,Alice
Ivan,Dave
Ivan,Drew
Ivan,Grace
Ivan,Mia
Judy,Dave
Judy,Heidi
Judy,Paul
Judy,Uma
Karl,Alice
Karl,Dave
Karl,Sam
Karl,Wendy
Liam,Rita
Liam,Xander
Liam,Yara
Mia,Cleo
Mia,Drew
Mia,Ivan
Mia,Sam
Mia,Victor
Nina,Alice
Nina,Carol
Nina,Cleo
Nina,Grace
Oscar,Bob
Oscar,Dave
Oscar,Yara
Paul,Cleo
Paul,Judy
Paul,Tara
Quinn,Amy
Rita,Bob
Rita,Drew
Rita,Liam
Rita,Tara
Sam,Karl
Sam,Mia
Sam,Zane
Tara,Bob
Tara,Eve
Tara,Paul
Tara,Rita
Uma,Alice
Uma,Dave
Uma,Judy
Uma,Zane
Victor,Drew
Victor,Eve
Victor,Mia
Wendy,Karl
Xander,Drew
Xander,Heidi
Xander,Liam
Xander,Zane
Yara,Grace
Yara,Liam
Yara,Oscar
Zane,Cleo
Zane,Sam
Zane,Uma
Zane,Xander
Amy,Cleo
Amy,Dave
Amy,Eve
Amy,Quinn
Ben,Alice
Cleo,Alice
Cleo,Amy
Cleo,Mia
Cleo,Nina
Cleo,Paul
Cleo,Zane
Drew,Eve
Drew,Ivan
Drew,Mia
Drew,Rita
Drew,Victor
Drew,Xander
